environment_long,environment_short,extension_field_count,file,line_count,parse_error,ports_long,ports_short,service_count,size_bytes,top_level_section_count,top_level_sections,volumes_long,volumes_short,yaml_nesting_depth
1,0,0,0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,,0,2,3,692,2,services;version,0,5,4
0,0,0,0xSh4dy__hackentine_archives__reversing_rev1_firstchallrevbasic_docker-compose.yml.yml,7,,0,1,1,115,2,services;version,0,0,4
0,1,0,1235357__debate-engine__docker-compose.yml.yml,17,,0,1,1,490,1,services,0,0,5
1,0,0,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,,0,3,1,495,2,services;version,0,3,4
0,2,0,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,31,,0,0,4,592,2,services;version,0,1,4
4,0,0,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,81,,0,4,4,2077,4,networks;services;version;volumes,0,2,5
1,0,0,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,37,,0,0,1,717,3,networks;services;volumes,1,0,5
0,2,0,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,61,,0,3,3,1711,3,networks;services;version,0,3,5
3,0,0,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,115,,0,1,5,3936,1,services,0,2,5
0,1,0,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,,0,1,1,2389,1,services,0,1,4
1,0,0,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,,0,1,1,380,2,networks;services,0,0,5
1,0,0,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,,0,2,2,984,4,networks;services;version;volumes,0,2,5
2,0,0,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,93,,0,2,3,2405,2,networks;services,0,2,5
0,2,0,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,64,,0,1,5,1329,2,services;version,0,7,5
0,20,0,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,580,,0,4,21,21586,2,networks;services,0,36,5
0,1,0,AhmedIsmailKhalid__Iris-Classification-System-MLOps__deployment_docker-compose.yml.yml,39,,0,1,1,914,3,networks;services;volumes,0,2,5
2,0,0,Aish2140__movie-recommender-endee__docker-compose.yml.yml,35,,0,2,2,764,2,services;volumes,0,1,5
1,0,0,Akash112004__ChaiGallery__docker-compose.yml.yml,16,,0,1,1,310,2,services;volumes,0,1,4
0,7,0,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,360,,0,5,9,9841,3,networks;services;volumes,0,27,6
2,0,0,Alanaktion__artdeck__docker-compose.yml.yml,72,,0,5,4,2043,4,networks;services;version;volumes,0,3,5
0,3,0,Alexandra2888__eShop__docker-compose.yml.yml,48,,0,3,3,1057,3,services;version;volumes,0,2,4
1,0,0,Alexestgrand__RoyalChess__docker-compose.yml.yml,39,,0,2,2,943,2,services;volumes,0,2,5
1,1,0,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,59,,0,3,4,1068,4,networks;services;version;volumes,0,4,4
