op,file,service,before,after,total_lines,actual_changed_lines,expected_changed_lines,locality_ratio,baseline_noise_changed_lines,incremental_changed_lines,adjusted_locality_ratio,elapsed_s,status
image,0kkun__tennis-track__.openapi_docker-compose.yml.yml,swagger-api,stoplight/prism:3,stoplight/prism:cm-test-9.9,32,5,1,0.2,4,1,1.0,0.0022,OK
image,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,web,gitlab/gitlab-ee:latest,gitlab/gitlab-ee:cm-test-9.9,19,13,1,0.076923,13,0,1.0,0.0018,OK
image,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,chromedriver,blueimp/chromedriver,blueimp/chromedriver:cm-test-9.9,31,9,1,0.111111,8,1,1.0,0.002,OK
image,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,postgres,postgres:15-alpine,postgres:cm-test-9.9,81,19,1,0.052632,18,1,1.0,0.0024,OK
image,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,app-frontend2,registry:5000/projeto-mentoria:optimized,registry:5000/projeto-mentoria:cm-test-9.9,37,8,1,0.125,7,1,1.0,0.002,OK
image,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,backend,docker-spring-boot:latest,docker-spring-boot:cm-test-9.9,61,26,1,0.038462,26,0,1.0,0.0022,OK
image,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,kafka,confluentinc/cp-kafka:7.5.0,confluentinc/cp-kafka:cm-test-9.9,115,64,1,0.015625,63,1,1.0,0.0018,OK
image,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,valhalla,ghcr.io/valhalla/valhalla-scripted:3.8.3,ghcr.io/valhalla/valhalla-scripted:cm-test-9.9,45,32,1,0.03125,31,1,1.0,0.0018,OK
image,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,sonarqube,sonarqube:community,sonarqube:cm-test-9.9,21,4,1,0.25,3,1,1.0,0.0018,OK
image,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,auth-db,postgres:14,postgres:cm-test-9.9,45,13,1,0.076923,12,1,1.0,0.002,OK
image,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,modsecurity,owasp/modsecurity-crs:4.25-nginx-lts,owasp/modsecurity-crs:cm-test-9.9,93,14,1,0.071429,13,1,1.0,0.0025,OK
image,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,catalog-server,catalog-service,catalog-service:cm-test-9.9,64,8,1,0.125,7,1,1.0,0.0021,OK
image,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,autobrr,ghcr.io/autobrr/autobrr:latest,ghcr.io/autobrr/autobrr:cm-test-9.9,580,55,1,0.018182,54,1,1.0,0.01,OK
image,Aish2140__movie-recommender-endee__docker-compose.yml.yml,endee,endeeio/endee-server:latest,endeeio/endee-server:cm-test-9.9,35,9,1,0.111111,8,1,1.0,0.002,OK
image,Akash112004__ChaiGallery__docker-compose.yml.yml,db,postgres:16,postgres:cm-test-9.9,16,5,1,0.2,4,1,1.0,0.002,OK
image,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,airflow-init,stock_pipeline_airflow:v2,stock_pipeline_airflow:cm-test-9.9,360,59,1,0.016949,58,1,1.0,0.0065,OK
image,Alanaktion__artdeck__docker-compose.yml.yml,laravel.test,sail-8.1/app,sail-8.1/app:cm-test-9.9,72,69,1,0.014493,69,0,1.0,0.0038,OK
image,Alexandra2888__eShop__docker-compose.yml.yml,mongo,mongo:6,mongo:cm-test-9.9,48,10,1,0.1,9,1,1.0,0.0033,OK
image,Alexestgrand__RoyalChess__docker-compose.yml.yml,postgres,postgres:16-alpine,postgres:cm-test-9.9,39,9,1,0.111111,8,1,1.0,0.0032,OK
