tool,file,status,unknown_service_property,unknown_top_level_section,x_top_security,x_top_logging,x_service_meta
composemorph,0kkun__tennis-track__.openapi_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,0kkun__tennis-track__.openapi_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,0kkun__tennis-track__.openapi_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Aish2140__movie-recommender-endee__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Aish2140__movie-recommender-endee__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Aish2140__movie-recommender-endee__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Akash112004__ChaiGallery__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Akash112004__ChaiGallery__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Akash112004__ChaiGallery__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Alanaktion__artdeck__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Alanaktion__artdeck__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Alanaktion__artdeck__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Alexandra2888__eShop__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Alexandra2888__eShop__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Alexandra2888__eShop__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Alexestgrand__RoyalChess__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Alexestgrand__RoyalChess__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Alexestgrand__RoyalChess__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Amrue320__cicd-demo-app__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Amrue320__cicd-demo-app__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Amrue320__cicd-demo-app__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,OK,True,True,True,True,True
yamlcpp-careful,AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,OK,True,True,True,True,True
yamlcpp-naive,AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,OK,False,True,True,True,False
composemorph,AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Aram8956__LMSPlatform__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Aram8956__LMSPlatform__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Aram8956__LMSPlatform__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,ArmandoHdzBta__api-spring__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,ArmandoHdzBta__api-spring__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,ArmandoHdzBta__api-spring__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,ArturB__RSO__docker-compose.yml.bak.yml,OK,True,True,True,True,True
yamlcpp-careful,ArturB__RSO__docker-compose.yml.bak.yml,OK,True,True,True,True,True
yamlcpp-naive,ArturB__RSO__docker-compose.yml.bak.yml,OK,False,True,True,True,False
composemorph,AryanMarwah7781__FitPub__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,AryanMarwah7781__FitPub__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,AryanMarwah7781__FitPub__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,AshwinSaklecha__LedgerPay__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,AshwinSaklecha__LedgerPay__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,AshwinSaklecha__LedgerPay__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,BD2KGenomics__dcc-ops__boardwalk_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,BD2KGenomics__dcc-ops__boardwalk_docker-compose.yml.yml,OK,True,True,True,True,True
