tool,file,status,unknown_service_property,unknown_top_level_section,x_top_security,x_top_logging,x_service_meta
composemorph,full-featured.yml,OK,True,True,True,True,True
yamlcpp-careful,full-featured.yml,OK,True,True,True,True,True
yamlcpp-naive,full-featured.yml,OK,False,True,True,True,False
composemorph,minimal-multi-service.yml,OK,True,True,True,True,True
yamlcpp-careful,minimal-multi-service.yml,OK,True,True,True,True,True
yamlcpp-naive,minimal-multi-service.yml,OK,False,True,True,True,False
composemorph,anchors-and-aliases.yml,OK,True,True,True,True,True
yamlcpp-careful,anchors-and-aliases.yml,OK,True,True,True,True,True
yamlcpp-naive,anchors-and-aliases.yml,OK,False,True,True,True,False
composemorph,deploy-placement-and-profiles.yml,OK,True,True,True,True,True
yamlcpp-careful,deploy-placement-and-profiles.yml,OK,True,True,True,True,True
yamlcpp-naive,deploy-placement-and-profiles.yml,OK,False,True,True,True,False
composemorph,extends-keyword.yml,OK,True,True,True,True,True
yamlcpp-careful,extends-keyword.yml,OK,True,True,True,True,True
yamlcpp-naive,extends-keyword.yml,OK,False,True,True,True,False
composemorph,external-resources.yml,OK,True,True,True,True,True
yamlcpp-careful,external-resources.yml,OK,True,True,True,True,True
yamlcpp-naive,external-resources.yml,OK,False,True,True,True,False
composemorph,include-directive.yml,OK,True,True,True,True,True
yamlcpp-careful,include-directive.yml,OK,True,True,True,True,True
yamlcpp-naive,include-directive.yml,OK,False,True,True,True,False
composemorph,null-and-empty-values.yml,OK,True,True,True,True,True
yamlcpp-careful,null-and-empty-values.yml,OK,True,True,True,True,True
yamlcpp-naive,null-and-empty-values.yml,OK,False,True,True,True,False
composemorph,quoted-scalar-types.yml,OK,True,True,True,True,True
yamlcpp-careful,quoted-scalar-types.yml,OK,True,True,True,True,True
yamlcpp-naive,quoted-scalar-types.yml,OK,False,True,True,True,False
composemorph,similar-looking-env-keys.yml,OK,True,True,True,True,True
yamlcpp-careful,similar-looking-env-keys.yml,OK,True,True,True,True,True
yamlcpp-naive,similar-looking-env-keys.yml,OK,False,True,True,True,False
composemorph,unicode-and-special-chars.yml,OK,True,True,True,True,True
yamlcpp-careful,unicode-and-special-chars.yml,OK,True,True,True,True,True
yamlcpp-naive,unicode-and-special-chars.yml,OK,False,True,True,True,False
composemorph,configs.yml,OK,True,True,True,True,True
yamlcpp-careful,configs.yml,OK,True,True,True,True,True
yamlcpp-naive,configs.yml,OK,False,True,True,True,False
composemorph,depends-on.yml,OK,True,True,True,True,True
yamlcpp-careful,depends-on.yml,OK,True,True,True,True,True
yamlcpp-naive,depends-on.yml,OK,False,True,True,True,False
composemorph,deploy.yml,OK,True,True,True,True,True
yamlcpp-careful,deploy.yml,OK,True,True,True,True,True
yamlcpp-naive,deploy.yml,OK,False,True,True,True,False
composemorph,devices.yml,OK,True,True,True,True,True
yamlcpp-careful,devices.yml,OK,True,True,True,True,True
yamlcpp-naive,devices.yml,OK,False,True,True,True,False
composemorph,environment-long.yml,OK,True,True,True,True,True
yamlcpp-careful,environment-long.yml,OK,True,True,True,True,True
yamlcpp-naive,environment-long.yml,OK,False,True,True,True,False
composemorph,environment-short.yml,OK,True,True,True,True,True
yamlcpp-careful,environment-short.yml,OK,True,True,True,True,True
yamlcpp-naive,environment-short.yml,OK,False,True,True,True,False
composemorph,extension-fields.yml,OK,True,True,True,True,True
yamlcpp-careful,extension-fields.yml,OK,True,True,True,True,True
yamlcpp-naive,extension-fields.yml,OK,False,True,True,True,False
composemorph,healthcheck.yml,OK,True,True,True,True,True
yamlcpp-careful,healthcheck.yml,OK,True,True,True,True,True
yamlcpp-naive,healthcheck.yml,OK,False,True,True,True,False
composemorph,image.yml,OK,True,True,True,True,True
yamlcpp-careful,image.yml,OK,True,True,True,True,True
yamlcpp-naive,image.yml,OK,False,True,True,True,False
composemorph,labels.yml,OK,True,True,True,True,True
yamlcpp-careful,labels.yml,OK,True,True,True,True,True
yamlcpp-naive,labels.yml,OK,False,True,True,True,False
composemorph,logging.yml,OK,True,True,True,True,True
yamlcpp-careful,logging.yml,OK,True,True,True,True,True
yamlcpp-naive,logging.yml,OK,False,True,True,True,False
composemorph,nested-generic-properties.yml,OK,True,True,True,True,True
yamlcpp-careful,nested-generic-properties.yml,OK,True,True,True,True,True
yamlcpp-naive,nested-generic-properties.yml,OK,False,True,True,True,False
composemorph,networks.yml,OK,True,True,True,True,True
yamlcpp-careful,networks.yml,OK,True,True,True,True,True
yamlcpp-naive,networks.yml,OK,False,True,True,True,False
composemorph,ports-long.yml,OK,True,True,True,True,True
yamlcpp-careful,ports-long.yml,OK,True,True,True,True,True
yamlcpp-naive,ports-long.yml,OK,False,True,True,True,False
composemorph,ports-short.yml,OK,True,True,True,True,True
yamlcpp-careful,ports-short.yml,OK,True,True,True,True,True
yamlcpp-naive,ports-short.yml,OK,False,True,True,True,False
