experiment,tool,op,file,service,status,elapsed_s,actual_changed_lines,collateral_preserved
modification,composemorph,image,0kkun__tennis-track__.openapi_docker-compose.yml.yml,swagger-api,OK,0.0054,4,True
modification,yamlcpp-careful,image,0kkun__tennis-track__.openapi_docker-compose.yml.yml,swagger-api,OK,0.0033,5,True
modification,yamlcpp-naive,image,0kkun__tennis-track__.openapi_docker-compose.yml.yml,swagger-api,OK,0.003,11,False
modification,composemorph,image,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,web,OK,0.0033,13,True
modification,yamlcpp-careful,image,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,web,OK,0.003,13,False
modification,yamlcpp-naive,image,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,web,OK,0.0029,17,False
modification,composemorph,image,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,chromedriver,OK,0.0043,9,True
modification,yamlcpp-careful,image,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,chromedriver,OK,0.0033,9,True
modification,yamlcpp-naive,image,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,chromedriver,OK,0.0031,12,False
modification,composemorph,image,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,postgres,OK,0.0071,13,True
modification,yamlcpp-careful,image,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,postgres,OK,0.0049,19,True
modification,yamlcpp-naive,image,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,postgres,OK,0.0049,30,False
modification,composemorph,image,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,app-frontend2,OK,0.0057,8,True
modification,yamlcpp-careful,image,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,app-frontend2,OK,0.0039,8,True
modification,yamlcpp-naive,image,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,app-frontend2,OK,0.0036,29,False
modification,composemorph,image,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,backend,OK,0.0041,24,True
modification,yamlcpp-careful,image,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,backend,OK,0.0038,26,True
modification,yamlcpp-naive,image,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,backend,OK,0.0033,39,False
modification,composemorph,image,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,kafka,OK,0.0065,48,True
modification,yamlcpp-careful,image,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,kafka,OK,0.0045,64,False
modification,yamlcpp-naive,image,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,kafka,OK,0.0036,82,False
modification,composemorph,image,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,valhalla,OK,0.0054,31,True
modification,yamlcpp-careful,image,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,valhalla,OK,0.0035,32,True
modification,yamlcpp-naive,image,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,valhalla,OK,0.0043,43,False
modification,composemorph,image,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,sonarqube,OK,0.0055,2,True
modification,yamlcpp-careful,image,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,sonarqube,OK,0.0037,4,False
modification,yamlcpp-naive,image,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,sonarqube,OK,0.0031,16,False
modification,composemorph,image,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,auth-db,OK,0.0051,9,True
modification,yamlcpp-careful,image,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,auth-db,OK,0.0034,13,True
modification,yamlcpp-naive,image,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,auth-db,OK,0.0034,28,False
modification,composemorph,image,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,modsecurity,OK,0.0064,4,True
modification,yamlcpp-careful,image,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,modsecurity,OK,0.0044,14,False
modification,yamlcpp-naive,image,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,modsecurity,OK,0.0039,36,False
modification,composemorph,image,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,catalog-server,OK,0.0046,8,True
modification,yamlcpp-careful,image,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,catalog-server,OK,0.004,8,True
modification,yamlcpp-naive,image,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,catalog-server,OK,0.0037,23,False
modification,composemorph,image,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,autobrr,OK,0.0164,38,True
modification,yamlcpp-careful,image,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,autobrr,OK,0.0126,55,True
modification,yamlcpp-naive,image,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,autobrr,OK,0.014,82,False
modification,composemorph,image,Aish2140__movie-recommender-endee__docker-compose.yml.yml,endee,OK,0.0047,5,True
modification,yamlcpp-careful,image,Aish2140__movie-recommender-endee__docker-compose.yml.yml,endee,OK,0.003,9,True
modification,yamlcpp-naive,image,Aish2140__movie-recommender-endee__docker-compose.yml.yml,endee,OK,0.0029,22,False
modification,composemorph,image,Akash112004__ChaiGallery__docker-compose.yml.yml,db,OK,0.0042,4,True
modification,yamlcpp-careful,image,Akash112004__ChaiGallery__docker-compose.yml.yml,db,OK,0.0028,5,True
modification,yamlcpp-naive,image,Akash112004__ChaiGallery__docker-compose.yml.yml,db,OK,0.0028,13,False
modification,composemorph,image,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,airflow-init,OK,0.0088,50,True
modification,yamlcpp-careful,image,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,airflow-init,OK,0.0089,59,False
modification,yamlcpp-naive,image,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,airflow-init,OK,0.0088,88,False
modification,composemorph,image,Alanaktion__artdeck__docker-compose.yml.yml,laravel.test,OK,0.0049,69,True
modification,yamlcpp-careful,image,Alanaktion__artdeck__docker-compose.yml.yml,laravel.test,OK,0.0036,69,True
modification,yamlcpp-naive,image,Alanaktion__artdeck__docker-compose.yml.yml,laravel.test,OK,0.0034,69,False
modification,composemorph,image,Alexandra2888__eShop__docker-compose.yml.yml,mongo,OK,0.0047,7,True
modification,yamlcpp-careful,image,Alexandra2888__eShop__docker-compose.yml.yml,mongo,OK,0.0031,10,True
modification,yamlcpp-naive,image,Alexandra2888__eShop__docker-compose.yml.yml,mongo,OK,0.0041,16,False
modification,composemorph,image,Alexestgrand__RoyalChess__docker-compose.yml.yml,postgres,OK,0.0054,5,True
modification,yamlcpp-careful,image,Alexestgrand__RoyalChess__docker-compose.yml.yml,postgres,OK,0.0034,9,True
modification,yamlcpp-naive,image,Alexestgrand__RoyalChess__docker-compose.yml.yml,postgres,OK,0.003,23,False
modification,composemorph,image,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,postgres,OK,0.0048,11,True
modification,yamlcpp-careful,image,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,postgres,OK,0.0033,12,True
modification,yamlcpp-naive,image,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,postgres,OK,0.0033,23,False
modification,composemorph,image,Amrue320__cicd-demo-app__docker-compose.yml.yml,app,OK,0.0062,17,True
modification,yamlcpp-careful,image,Amrue320__cicd-demo-app__docker-compose.yml.yml,app,OK,0.005,21,True
modification,yamlcpp-naive,image,Amrue320__cicd-demo-app__docker-compose.yml.yml,app,OK,0.0052,44,False
modification,composemorph,image,AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,vaultwarden,OK,0.0089,3,True
modification,yamlcpp-careful,image,AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,vaultwarden,OK,0.0061,3,True
modification,yamlcpp-naive,image,AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,vaultwarden,OK,0.0055,33,False
modification,composemorph,image,AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,postgres,OK,0.0077,8,True
modification,yamlcpp-careful,image,AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,postgres,OK,0.0058,13,True
modification,yamlcpp-naive,image,AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,postgres,OK,0.0053,25,False
modification,composemorph,image,Aram8956__LMSPlatform__docker-compose.yml.yml,rabbitmq,OK,0.0058,7,True
modification,yamlcpp-careful,image,Aram8956__LMSPlatform__docker-compose.yml.yml,rabbitmq,OK,0.0035,15,True
modification,yamlcpp-naive,image,Aram8956__LMSPlatform__docker-compose.yml.yml,rabbitmq,OK,0.0031,19,False
modification,composemorph,image,ArmandoHdzBta__api-spring__docker-compose.yml.yml,db,OK,0.0045,2,True
modification,yamlcpp-careful,image,ArmandoHdzBta__api-spring__docker-compose.yml.yml,db,OK,0.0029,3,True
modification,yamlcpp-naive,image,ArmandoHdzBta__api-spring__docker-compose.yml.yml,db,OK,0.0028,9,False
modification,composemorph,image,ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,db,OK,0.0058,32,True
modification,yamlcpp-careful,image,ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,db,OK,0.0036,33,True
modification,yamlcpp-naive,image,ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,db,OK,0.0036,33,False
modification,composemorph,image,ArturB__RSO__docker-compose.yml.bak.yml,msapp-app,OK,0.0055,23,True
modification,yamlcpp-careful,image,ArturB__RSO__docker-compose.yml.bak.yml,msapp-app,OK,0.0035,24,True
modification,yamlcpp-naive,image,ArturB__RSO__docker-compose.yml.bak.yml,msapp-app,OK,0.0032,28,False
modification,composemorph,image,AryanMarwah7781__FitPub__docker-compose.yml.yml,postgres,OK,0.0059,17,True
modification,yamlcpp-careful,image,AryanMarwah7781__FitPub__docker-compose.yml.yml,postgres,OK,0.0039,22,True
modification,yamlcpp-naive,image,AryanMarwah7781__FitPub__docker-compose.yml.yml,postgres,OK,0.0037,37,False
modification,composemorph,image,AshwinSaklecha__LedgerPay__docker-compose.yml.yml,postgres,OK,0.0044,4,True
modification,yamlcpp-careful,image,AshwinSaklecha__LedgerPay__docker-compose.yml.yml,postgres,OK,0.0029,8,True
modification,yamlcpp-naive,image,AshwinSaklecha__LedgerPay__docker-compose.yml.yml,postgres,OK,0.0029,21,False
modification,composemorph,image,BD2KGenomics__dcc-ops__boardwalk_docker-compose.yml.yml,db,OK,0.0065,12,True
modification,yamlcpp-careful,image,BD2KGenomics__dcc-ops__boardwalk_docker-compose.yml.yml,db,OK,0.0072,57,True
modification,yamlcpp-naive,image,BD2KGenomics__dcc-ops__boardwalk_docker-compose.yml.yml,db,OK,0.0053,62,False
modification,composemorph,image,Baptiste4321__biblioteque-node_express__backend_docker-compose.yml.yml,db,OK,0.0045,27,True
modification,yamlcpp-careful,image,Baptiste4321__biblioteque-node_express__backend_docker-compose.yml.yml,db,OK,0.0032,31,True
modification,yamlcpp-naive,image,Baptiste4321__biblioteque-node_express__backend_docker-compose.yml.yml,db,OK,0.0031,38,False
modification,composemorph,image,Bensmina-Anass__streaming-sales-analytics__clickhouse_docker-compose.yml.yml,clickhouse,OK,0.0042,7,True
modification,yamlcpp-careful,image,Bensmina-Anass__streaming-sales-analytics__clickhouse_docker-compose.yml.yml,clickhouse,OK,0.0032,8,True
modification,yamlcpp-naive,image,Bensmina-Anass__streaming-sales-analytics__clickhouse_docker-compose.yml.yml,clickhouse,OK,0.0035,20,False
modification,composemorph,image,BinhSilver__sentry_Suport_learning_Japanese-Public__docker-compose.yml.yml,mysql,OK,0.0052,7,True
modification,yamlcpp-careful,image,BinhSilver__sentry_Suport_learning_Japanese-Public__docker-compose.yml.yml,mysql,OK,0.0039,12,True
modification,yamlcpp-naive,image,BinhSilver__sentry_Suport_learning_Japanese-Public__docker-compose.yml.yml,mysql,OK,0.0035,29,False
modification,composemorph,image,BlackAntik__service-oriented-architecture-__kafka_clickhouse_postgresql_docker-compose.yml.yml,clickhouse,OK,0.008,24,True
modification,yamlcpp-careful,image,BlackAntik__service-oriented-architecture-__kafka_clickhouse_postgresql_docker-compose.yml.yml,clickhouse,OK,0.0074,56,False
modification,yamlcpp-naive,image,BlackAntik__service-oriented-architecture-__kafka_clickhouse_postgresql_docker-compose.yml.yml,clickhouse,OK,0.006,68,False
modification,composemorph,image,Bleenq-Technology__ai-homelab__docker_ai_compose.ai.yml.yml,bge-m3,OK,0.0115,227,True
modification,yamlcpp-careful,image,Bleenq-Technology__ai-homelab__docker_ai_compose.ai.yml.yml,bge-m3,OK,0.0129,325,False
modification,yamlcpp-naive,image,Bleenq-Technology__ai-homelab__docker_ai_compose.ai.yml.yml,bge-m3,OK,0.0113,337,False
modification,composemorph,image,Bohdan778__quizbot__docker-compose.yml.yml,redis,OK,0.0045,3,True
modification,yamlcpp-careful,image,Bohdan778__quizbot__docker-compose.yml.yml,redis,OK,0.0028,6,True
modification,yamlcpp-naive,image,Bohdan778__quizbot__docker-compose.yml.yml,redis,OK,0.0028,8,False
modification,composemorph,image,Bola-j__SolKey__docker-compose.yml.yml,mailpit,OK,0.0037,1,True
modification,yamlcpp-careful,image,Bola-j__SolKey__docker-compose.yml.yml,mailpit,OK,0.0026,3,True
modification,yamlcpp-naive,image,Bola-j__SolKey__docker-compose.yml.yml,mailpit,OK,0.0026,5,False
modification,composemorph,image,BorowskaNatalia__mini_data_platform__docker-compose.yml.yml,minio,OK,0.0075,58,True
modification,yamlcpp-careful,image,BorowskaNatalia__mini_data_platform__docker-compose.yml.yml,minio,OK,0.0064,65,True
modification,yamlcpp-naive,image,BorowskaNatalia__mini_data_platform__docker-compose.yml.yml,minio,OK,0.0063,76,False
modification,composemorph,image,BrianTz79__Portafolio-Brian__docker-compose.yml.yml,cloudflared,OK,0.0041,2,True
modification,yamlcpp-careful,image,BrianTz79__Portafolio-Brian__docker-compose.yml.yml,cloudflared,OK,0.0027,3,True
modification,yamlcpp-naive,image,BrianTz79__Portafolio-Brian__docker-compose.yml.yml,cloudflared,OK,0.0027,9,False
modification,composemorph,image,ByteMeDirk__semantic-medallion-data-platform__docker-compose.yml.yml,metabase,OK,0.0051,6,True
modification,yamlcpp-careful,image,ByteMeDirk__semantic-medallion-data-platform__docker-compose.yml.yml,metabase,OK,0.0042,10,True
modification,yamlcpp-naive,image,ByteMeDirk__semantic-medallion-data-platform__docker-compose.yml.yml,metabase,OK,0.0035,27,False
modification,composemorph,image,CEIJ-GPSDE__GoTracker__docker-compose.yml.yml,nginx,OK,0.0066,19,True
modification,yamlcpp-careful,image,CEIJ-GPSDE__GoTracker__docker-compose.yml.yml,nginx,OK,0.0042,22,True
modification,yamlcpp-naive,image,CEIJ-GPSDE__GoTracker__docker-compose.yml.yml,nginx,OK,0.0037,34,False
modification,composemorph,image,CJLove__homelab__ArtifactKeeper_docker-compose.yml.yml,backend,OK,0.01,311,True
modification,yamlcpp-careful,image,CJLove__homelab__ArtifactKeeper_docker-compose.yml.yml,backend,OK,0.01,340,False
modification,yamlcpp-naive,image,CJLove__homelab__ArtifactKeeper_docker-compose.yml.yml,backend,OK,0.0089,391,False
modification,composemorph,image,CMU-313__docker-intro__docker-compose.yml_2.txt.yml,db,OK,0.0046,4,
modification,yamlcpp-careful,image,CMU-313__docker-intro__docker-compose.yml_2.txt.yml,db,OK,0.0027,5,
modification,yamlcpp-naive,image,CMU-313__docker-intro__docker-compose.yml_2.txt.yml,db,OK,0.0029,5,
modification,composemorph,image,CNR-ISMAR__iws__docker-compose.yml.old.yml,data-dir-conf,OK,0.008,124,True
modification,yamlcpp-careful,image,CNR-ISMAR__iws__docker-compose.yml.old.yml,data-dir-conf,OK,0.0063,129,True
modification,yamlcpp-naive,image,CNR-ISMAR__iws__docker-compose.yml.old.yml,data-dir-conf,OK,0.0097,135,False
modification,composemorph,image,CarMi0Proggramer__php-erp-challenge__docker-compose.yml.yml,db,OK,0.0071,1,True
modification,yamlcpp-careful,image,CarMi0Proggramer__php-erp-challenge__docker-compose.yml.yml,db,OK,0.0051,1,True
modification,yamlcpp-naive,image,CarMi0Proggramer__php-erp-challenge__docker-compose.yml.yml,db,OK,0.005,8,False
modification,composemorph,image,ChasakisD__MudDataGridEfCore__Api_docker-compose.yml.yml,db,OK,0.006,19,True
modification,yamlcpp-careful,image,ChasakisD__MudDataGridEfCore__Api_docker-compose.yml.yml,db,OK,0.005,19,True
modification,yamlcpp-naive,image,ChasakisD__MudDataGridEfCore__Api_docker-compose.yml.yml,db,OK,0.0049,19,False
modification,composemorph,image,CodesWhat__drydock__test_qa-compose.yml.yml,alpine-latest,OK,0.0156,213,True
modification,yamlcpp-careful,image,CodesWhat__drydock__test_qa-compose.yml.yml,alpine-latest,OK,0.01,244,False
modification,yamlcpp-naive,image,CodesWhat__drydock__test_qa-compose.yml.yml,alpine-latest,OK,0.0108,250,False
