experiment,tool,op,file,service,status,elapsed_s,actual_changed_lines,collateral_preserved
modification,composemorph,image,full-featured.yml,web,OK,0.0054,15,True
modification,yamlcpp-careful,image,full-featured.yml,web,OK,0.0042,29,False
modification,yamlcpp-naive,image,full-featured.yml,web,OK,0.0039,56,False
modification,composemorph,image,minimal-multi-service.yml,app,OK,0.0041,4,True
modification,yamlcpp-careful,image,minimal-multi-service.yml,app,OK,0.0027,5,True
modification,yamlcpp-naive,image,minimal-multi-service.yml,app,OK,0.0026,10,False
modification,composemorph,image,anchors-and-aliases.yml,service-a,OK,0.0041,5,True
modification,yamlcpp-careful,image,anchors-and-aliases.yml,service-a,OK,0.0026,5,True
modification,yamlcpp-naive,image,anchors-and-aliases.yml,service-a,OK,0.0026,5,False
modification,composemorph,image,deploy-placement-and-profiles.yml,app,OK,0.0052,1,True
modification,yamlcpp-careful,image,deploy-placement-and-profiles.yml,app,OK,0.0036,3,True
modification,yamlcpp-naive,image,deploy-placement-and-profiles.yml,app,OK,0.0033,8,False
modification,composemorph,image,extends-keyword.yml,app,OK,0.0046,2,True
modification,yamlcpp-careful,image,extends-keyword.yml,app,OK,0.0029,2,True
modification,yamlcpp-naive,image,extends-keyword.yml,app,OK,0.0027,4,False
modification,composemorph,image,external-resources.yml,app,OK,0.0043,2,True
modification,yamlcpp-careful,image,external-resources.yml,app,OK,0.0029,2,True
modification,yamlcpp-naive,image,external-resources.yml,app,OK,0.0027,10,False
modification,composemorph,image,include-directive.yml,app,OK,0.0042,2,
modification,yamlcpp-careful,image,include-directive.yml,app,OK,0.0027,2,
modification,yamlcpp-naive,image,include-directive.yml,app,OK,0.0027,2,
modification,composemorph,image,null-and-empty-values.yml,app,OK,0.0042,5,True
modification,yamlcpp-careful,image,null-and-empty-values.yml,app,OK,0.0026,5,True
modification,yamlcpp-naive,image,null-and-empty-values.yml,app,OK,0.0023,7,False
modification,composemorph,image,quoted-scalar-types.yml,app,OK,0.0041,2,True
modification,yamlcpp-careful,image,quoted-scalar-types.yml,app,OK,0.0026,8,False
modification,yamlcpp-naive,image,quoted-scalar-types.yml,app,OK,0.0026,11,False
modification,composemorph,image,similar-looking-env-keys.yml,app,OK,0.004,1,True
modification,yamlcpp-careful,image,similar-looking-env-keys.yml,app,OK,0.0025,4,True
modification,yamlcpp-naive,image,similar-looking-env-keys.yml,app,OK,0.0025,5,False
modification,composemorph,image,unicode-and-special-chars.yml,app,OK,0.0042,1,True
modification,yamlcpp-careful,image,unicode-and-special-chars.yml,app,OK,0.0027,3,True
modification,yamlcpp-naive,image,unicode-and-special-chars.yml,app,OK,0.0028,5,False
modification,composemorph,image,configs.yml,app,OK,0.0042,2,True
modification,yamlcpp-careful,image,configs.yml,app,OK,0.0027,2,True
modification,yamlcpp-naive,image,configs.yml,app,OK,0.0034,5,False
