file,composemorph_changed_lines,yamlcpp_careful_changed_lines,byte_identical_to_each_other,differ_only_in_quoting,composemorph_semantic_match,yamlcpp_careful_semantic_match
0kkun__tennis-track__.openapi_docker-compose.yml.yml,3,4,False,True,True,False
0xSh4dy__hackentine_archives__reversing_rev1_firstchallrevbasic_docker-compose.yml.yml,1,1,False,True,True,False
1235357__debate-engine__docker-compose.yml.yml,0,2,False,True,True,True
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,13,13,False,True,True,False
3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,8,8,False,True,True,False
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,12,18,False,True,True,False
4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,7,7,True,False,True,True
97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,24,26,False,True,True,False
9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,47,63,False,True,True,False
AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,30,31,False,True,True,True
AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,1,3,False,True,True,False
ALipckin__task-flow-backend__auth_docker-compose.yml.yml,8,12,False,True,True,False
AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,3,13,False,True,True,False
AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,7,7,False,True,True,False
AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,37,54,False,True,True,False
AhmedIsmailKhalid__Iris-Classification-System-MLOps__deployment_docker-compose.yml.yml,6,8,False,True,True,True
Aish2140__movie-recommender-endee__docker-compose.yml.yml,4,8,False,True,True,True
Akash112004__ChaiGallery__docker-compose.yml.yml,3,4,False,True,True,True
Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,49,58,False,True,True,False
Alanaktion__artdeck__docker-compose.yml.yml,69,69,False,True,True,False
Alexandra2888__eShop__docker-compose.yml.yml,6,9,False,True,True,False
Alexestgrand__RoyalChess__docker-compose.yml.yml,4,8,False,True,True,True
