file,composemorph_changed_lines,yamlcpp_careful_changed_lines,byte_identical_to_each_other
full-featured.yml,28,28,True
minimal-multi-service.yml,4,4,True
anchors-and-aliases.yml,4,4,True
build-only-no-image.yml,0,0,True
deploy-placement-and-profiles.yml,2,2,True
extends-keyword.yml,1,1,True
external-resources.yml,1,1,True
include-directive.yml,1,1,True
null-and-empty-values.yml,4,4,True
quoted-scalar-types.yml,7,7,True
similar-looking-env-keys.yml,3,3,True
unicode-and-special-chars.yml,2,2,True
build.yml,1,1,True
configs.yml,1,1,True
depends-on.yml,0,0,True
deploy.yml,2,2,True
devices.yml,2,2,True
environment-long.yml,2,2,True
environment-short.yml,0,0,True
extension-fields.yml,1,1,True
healthcheck.yml,1,1,True
image.yml,0,0,True
labels.yml,2,2,True
logging.yml,2,2,True
nested-generic-properties.yml,0,0,True
networks.yml,2,2,True
ports-long.yml,1,1,True
ports-short.yml,3,3,True
profiles.yml,0,0,True
secrets.yml,1,1,True
services-minimal.yml,0,0,True
sysctls.yml,1,1,True
ulimits.yml,0,0,True
unknown-properties.yml,1,1,True
volumes-long.yml,2,2,True
volumes-short.yml,2,2,True
preservation-edge-cases.yml,9,9,True
preservation-standard-markers.yml,6,6,True
