op,file,service,before,after,total_lines,actual_changed_lines,expected_changed_lines,locality_ratio,baseline_noise_changed_lines,incremental_changed_lines,adjusted_locality_ratio,elapsed_s,status
image,full-featured.yml,web,nginx:1.25-alpine,nginx:cm-test-9.9,118,15,1,0.066667,14,1,1.0,0.0055,OK
image,minimal-multi-service.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,19,4,1,0.25,3,1,1.0,0.004,OK
image,anchors-and-aliases.yml,service-a,myorg/service-a:1.0,myorg/service-a:cm-test-9.9,12,5,1,0.2,4,1,1.0,0.0042,OK
image,deploy-placement-and-profiles.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,10,1,1,1.0,0,1,1.0,0.0045,OK
image,extends-keyword.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,10,2,1,0.5,1,1,1.0,0.0061,OK
image,external-resources.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,24,2,1,0.5,1,1,1.0,0.0063,OK
image,include-directive.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,7,2,1,0.5,1,1,1.0,0.0064,OK
image,null-and-empty-values.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,12,5,1,0.2,4,1,1.0,0.0049,OK
image,quoted-scalar-types.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,13,2,1,0.5,1,1,1.0,0.0048,OK
image,similar-looking-env-keys.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,7,1,1,1.0,0,1,1.0,0.0044,OK
image,unicode-and-special-chars.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,7,1,1,1.0,0,1,1.0,0.0046,OK
image,configs.yml,app,myorg/app:1.0,myorg/app:cm-test-9.9,10,2,1,0.5,1,1,1.0,0.0047,OK
image,depends-on.yml,cache,redis:7,redis:cm-test-9.9,12,1,1,1.0,0,1,1.0,0.004,OK
image,deploy.yml,worker,myorg/worker:1.0,myorg/worker:cm-test-9.9,16,1,1,1.0,0,1,1.0,0.0045,OK
