bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms,emit_yamlcpp_ms,emit_preserving_ms
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,0,0.158012,0.823743,0.324183,1.30594,0.144299,0.12873
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,1,0.263652,0.008666,0.194442,0.46676,0.081096,0.083031
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,2,0.115759,0.006096,0.112503,0.234358,0.081308,0.081593
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,3,0.106407,0.002583,0.110152,0.219142,0.069776,0.083447
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,4,0.091798,0.002052,0.103493,0.197343,0.081165,0.080652
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,5,0.104648,0.002381,0.106783,0.213812,0.079014,0.083353
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,6,0.103095,0.00221,0.106375,0.21168,0.080813,0.080682
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,7,0.104581,0.002207,0.108113,0.214901,0.07899,0.083653
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,8,0.110592,0.002463,0.132912,0.245967,0.086838,0.082933
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,9,0.114552,0.002475,0.11218,0.229207,0.078385,0.084896
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,10,0.103576,0.002148,0.122094,0.227818,0.081769,0.081092
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,11,0.105269,0.002517,0.10698,0.214766,0.078552,0.083395
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,12,0.104244,0.002092,0.107646,0.213982,0.08144,0.081118
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,13,0.104022,0.002175,0.105626,0.211823,0.078127,0.082812
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,14,0.103839,0.002237,0.106786,0.212862,0.079886,0.080712
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,15,0.101808,0.002265,0.104774,0.208847,0.078208,0.08305
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,16,0.1032,0.002259,0.117012,0.222471,0.089164,0.117644
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,17,0.132457,0.003222,0.160345,0.296024,0.090085,0.104554
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,18,0.122824,0.003432,0.151771,0.278027,0.089739,0.090062
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,19,0.119557,0.002662,0.145203,0.267422,0.087383,0.091362
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,20,0.141236,0.002475,0.119593,0.263304,0.081743,0.081199
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,21,0.105608,0.002466,0.108067,0.216141,0.078461,0.08268
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,22,0.103456,0.002341,0.106349,0.212146,0.079916,0.080542
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,23,0.103026,0.002161,0.106757,0.211944,0.077861,0.083094
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,24,0.103685,0.002197,0.108685,0.214567,0.081515,0.080888
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,25,0.104111,0.002227,0.106795,0.213133,0.078641,0.083147
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,26,0.102456,0.002186,0.105938,0.21058,0.080345,0.080709
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,27,0.10207,0.002174,0.106958,0.211202,0.078283,0.08352
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,28,0.103934,0.002216,0.10927,0.21542,0.080283,0.080613
Small (<100 lines),0kkun__tennis-track__.openapi_docker-compose.yml.yml,32,692,4792,29,0.102654,0.00213,0.105062,0.209846,0.078256,0.082242
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,0,0.0922,0.007855,0.154869,0.254924,0.056439,0.027488
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,1,0.06706,0.0006,0.072295,0.139955,0.047716,0.033462
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,2,0.061302,0.000534,0.057584,0.11942,0.049605,0.026392
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,3,0.059371,0.000498,0.052591,0.11246,0.046208,0.028285
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,4,0.057836,0.000472,0.05138,0.109688,0.048255,0.026184
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,5,0.057168,0.000407,0.050367,0.107942,0.046209,0.02805
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,6,0.057218,0.000448,0.050259,0.107925,0.048376,0.025802
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,7,0.056652,0.000443,0.05031,0.107405,0.045719,0.027492
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,8,0.056428,0.000479,0.050458,0.107365,0.048029,0.02583
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,9,0.056853,0.000445,0.050697,0.107995,0.04577,0.027662
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,10,0.056227,0.0005,0.049623,0.10635,0.047694,0.025832
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,11,0.056035,0.000479,0.050878,0.107392,0.045958,0.028314
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,12,0.057698,0.000442,0.051701,0.109841,0.049121,0.025769
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,13,0.061217,0.00045,0.064973,0.12664,0.047802,0.030839
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,14,0.073432,0.000427,0.06796,0.141819,0.052936,0.027875
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,15,0.072382,0.000509,0.059957,0.132848,0.04649,0.030289
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,16,0.063217,0.000432,0.05507,0.118719,0.049603,0.026171
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,17,0.06331,0.000574,0.056893,0.120777,0.046071,0.029754
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,18,0.060355,0.00051,0.071828,0.132693,0.04983,0.025415
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,19,0.060624,0.000448,0.05219,0.113262,0.04588,0.027413
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,20,0.056946,0.000447,0.051141,0.108534,0.047998,0.025368
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,21,0.056309,0.000454,0.049157,0.10592,0.045935,0.027309
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,22,0.056436,0.000413,0.05065,0.107499,0.047904,0.026239
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,23,0.057462,0.000614,0.051052,0.109128,0.045999,0.027914
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,24,0.05692,0.000418,0.050035,0.107373,0.047859,0.025694
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,25,0.056391,0.00041,0.05046,0.107261,0.045537,0.027723
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,26,0.056982,0.000386,0.050397,0.107765,0.047702,0.025386
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,27,0.055629,0.000415,0.049094,0.105138,0.045635,0.027573
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,28,0.055511,0.000425,0.050627,0.106563,0.047471,0.025523
Small (<100 lines),1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,19,495,4744,29,0.055738,0.000396,0.049532,0.105666,0.045674,0.027822
Small (<100 lines),3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,31,592,4800,0,0.132825,0.812929,0.281942,1.2277,0.091766,0.078167
Small (<100 lines),3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,31,592,4800,1,0.133153,0.005226,0.189084,0.327463,0.076664,0.081241
Small (<100 lines),3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,31,592,4800,2,0.126257,0.004717,0.160594,0.291568,0.082673,0.081948
Small (<100 lines),3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,31,592,4800,3,0.121585,0.004012,0.216774,0.342371,0.058684,0.064854
