source,file,op,service,status,elapsed_s,unknown_service_property,unknown_top_level_section,x_top_security,x_top_logging,x_service_meta
controlled,full-featured.yml,image,web,OK,0.0028,True,True,True,True,True
controlled,minimal-multi-service.yml,image,app,OK,0.002,True,True,True,True,True
controlled,anchors-and-aliases.yml,image,service-a,OK,0.002,True,True,True,True,True
controlled,deploy-placement-and-profiles.yml,image,app,OK,0.0019,True,True,True,True,True
controlled,extends-keyword.yml,image,app,OK,0.0019,True,True,True,True,True
controlled,external-resources.yml,image,app,OK,0.0023,True,True,True,True,True
controlled,include-directive.yml,image,app,OK,0.0029,True,True,True,True,True
controlled,null-and-empty-values.yml,image,app,OK,0.0019,True,True,True,True,True
controlled,quoted-scalar-types.yml,image,app,OK,0.0019,True,True,True,True,True
controlled,similar-looking-env-keys.yml,image,app,OK,0.0019,True,True,True,True,True
controlled,unicode-and-special-chars.yml,image,app,OK,0.002,True,True,True,True,True
controlled,configs.yml,image,app,OK,0.0023,True,True,True,True,True
controlled,depends-on.yml,image,cache,OK,0.0027,True,True,True,True,True
controlled,deploy.yml,image,worker,OK,0.0028,True,True,True,True,True
controlled,devices.yml,image,app,OK,0.0029,True,True,True,True,True
controlled,environment-long.yml,image,api,OK,0.0029,True,True,True,True,True
controlled,environment-short.yml,image,api,OK,0.0023,True,True,True,True,True
controlled,extension-fields.yml,image,app,OK,0.003,True,True,True,True,True
controlled,healthcheck.yml,image,api,OK,0.002,True,True,True,True,True
controlled,image.yml,image,web,OK,0.0026,True,True,True,True,True
controlled,labels.yml,image,app,OK,0.0031,True,True,True,True,True
controlled,logging.yml,image,app,OK,0.0023,True,True,True,True,True
controlled,nested-generic-properties.yml,image,app,OK,0.0029,True,True,True,True,True
controlled,networks.yml,image,backend,OK,0.0022,True,True,True,True,True
controlled,ports-long.yml,image,web,OK,0.0026,True,True,True,True,True
controlled,ports-short.yml,image,web,OK,0.0029,True,True,True,True,True
controlled,profiles.yml,image,app,OK,0.0029,True,True,True,True,True
controlled,secrets.yml,image,app,OK,0.003,True,True,True,True,True
controlled,services-minimal.yml,image,app,OK,0.0034,True,True,True,True,True
controlled,sysctls.yml,image,app,OK,0.0032,True,True,True,True,True
controlled,ulimits.yml,image,app,OK,0.0033,True,True,True,True,True
controlled,unknown-properties.yml,image,app,OK,0.0031,True,True,True,True,True
controlled,volumes-long.yml,image,db,OK,0.0031,True,True,True,True,True
controlled,volumes-short.yml,image,db,OK,0.0031,True,True,True,True,True
controlled,preservation-edge-cases.yml,image,app,OK,0.0017,True,True,True,True,True
controlled,preservation-standard-markers.yml,image,app,OK,0.0023,True,True,True,True,True
controlled,full-featured.yml,env,api,OK,0.0025,True,True,True,True,True
controlled,minimal-multi-service.yml,env,app,OK,0.0026,True,True,True,True,True
controlled,anchors-and-aliases.yml,env,service-a,OK,0.003,True,True,True,True,True
controlled,extends-keyword.yml,env,base,OK,0.0016,True,True,True,True,True
controlled,null-and-empty-values.yml,env,app,OK,0.0028,True,True,True,True,True
controlled,quoted-scalar-types.yml,env,app,OK,0.0031,True,True,True,True,True
controlled,similar-looking-env-keys.yml,env,app,OK,0.0027,True,True,True,True,True
controlled,unicode-and-special-chars.yml,env,app,OK,0.0031,True,True,True,True,True
controlled,environment-long.yml,env,api,OK,0.0029,True,True,True,True,True
controlled,environment-short.yml,env,api,OK,0.003,True,True,True,True,True
controlled,preservation-standard-markers.yml,env,app,OK,0.0023,True,True,True,True,True
controlled,preservation-standard-markers.yml,image,app,OK,,True,True,True,True,True
