source,file,op,service,status,elapsed_s,unknown_service_property,unknown_top_level_section,x_top_security,x_top_logging,x_service_meta
real-world,0kkun__tennis-track__.openapi_docker-compose.yml.yml,image,swagger-api,OK,0.0052,True,True,True,True,True
real-world,1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,image,web,OK,0.0042,True,True,True,True,True
real-world,3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,image,chromedriver,OK,0.0044,True,True,True,True,True
real-world,3bsolutionsltd__transconnect-app__docker-compose.yml.yml,image,postgres,OK,0.0053,True,True,True,True,True
real-world,4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,image,app-frontend2,OK,0.0045,True,True,True,True,True
real-world,97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,image,backend,OK,0.0067,True,True,True,True,True
real-world,9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,image,kafka,OK,0.0075,True,True,True,True,True
real-world,AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,image,valhalla,OK,0.0054,True,True,True,True,True
real-world,AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,image,sonarqube,OK,0.0048,True,True,True,True,True
real-world,ALipckin__task-flow-backend__auth_docker-compose.yml.yml,image,auth-db,OK,0.0051,True,True,True,True,True
real-world,AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,image,modsecurity,OK,0.0052,True,True,True,True,True
real-world,AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,image,catalog-server,OK,0.0066,True,True,True,True,True
real-world,AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,image,autobrr,OK,0.0148,True,True,True,True,True
real-world,Aish2140__movie-recommender-endee__docker-compose.yml.yml,image,endee,OK,0.0057,True,True,True,True,True
real-world,Akash112004__ChaiGallery__docker-compose.yml.yml,image,db,OK,0.0064,True,True,True,True,True
real-world,Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,image,airflow-init,OK,0.0091,True,True,True,True,True
real-world,Alanaktion__artdeck__docker-compose.yml.yml,image,laravel.test,OK,0.0047,True,True,True,True,True
real-world,Alexandra2888__eShop__docker-compose.yml.yml,image,mongo,OK,0.0049,True,True,True,True,True
real-world,Alexestgrand__RoyalChess__docker-compose.yml.yml,image,postgres,OK,0.0052,True,True,True,True,True
real-world,Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,image,postgres,OK,0.0048,True,True,True,True,True
real-world,Amrue320__cicd-demo-app__docker-compose.yml.yml,image,app,OK,0.0053,True,True,True,True,True
real-world,AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,image,vaultwarden,OK,0.0062,True,True,True,True,True
real-world,AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,image,postgres,OK,0.0053,True,True,True,True,True
real-world,Aram8956__LMSPlatform__docker-compose.yml.yml,image,rabbitmq,OK,0.0048,True,True,True,True,True
real-world,ArmandoHdzBta__api-spring__docker-compose.yml.yml,image,db,OK,0.0043,True,True,True,True,True
real-world,ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,image,db,OK,0.0045,True,True,True,True,True
real-world,ArturB__RSO__docker-compose.yml.bak.yml,image,msapp-app,OK,0.0051,True,True,True,True,True
real-world,AryanMarwah7781__FitPub__docker-compose.yml.yml,image,postgres,OK,0.0045,True,True,True,True,True
real-world,AshwinSaklecha__LedgerPay__docker-compose.yml.yml,image,postgres,OK,0.0059,True,True,True,True,True
real-world,BD2KGenomics__dcc-ops__boardwalk_docker-compose.yml.yml,image,db,OK,0.0064,True,True,True,True,True
real-world,Baptiste4321__biblioteque-node_express__backend_docker-compose.yml.yml,image,db,OK,0.0039,True,True,True,True,True
real-world,Bensmina-Anass__streaming-sales-analytics__clickhouse_docker-compose.yml.yml,image,clickhouse,OK,0.0053,True,True,True,True,True
