file,path,value,pattern,field,yamlcpp-baseline_type,yamlcpp-baseline_corrupted,yamlcpp-baseline_docker_invalid,composemorph_type,composemorph_corrupted,composemorph_docker_invalid
0kkun__tennis-track__.openapi_docker-compose.yml.yml,version,3.9,float-like,version,float,True,True,str,False,False
0xSh4dy__hackentine_archives__reversing_rev1_firstchallrevbasic_docker-compose.yml.yml,version,2,integer-like,version,int,True,True,str,False,False
1235357__debate-engine__docker-compose.yml.yml,services.debate-engine.ports.[0],8765:8765,plain-text (safe),ports element,str,False,False,str,False,False
1235357__debate-engine__docker-compose.yml.yml,services.debate-engine.healthcheck.test.[0],CMD,plain-text (safe),healthcheck,str,False,False,str,False,False
1235357__debate-engine__docker-compose.yml.yml,services.debate-engine.healthcheck.test.[1],python,plain-text (safe),healthcheck,str,False,False,str,False,False
1235357__debate-engine__docker-compose.yml.yml,services.debate-engine.healthcheck.test.[2],-c,plain-text (safe),healthcheck,str,False,False,str,False,False
1235357__debate-engine__docker-compose.yml.yml,services.debate-engine.healthcheck.test.[3],import httpx; httpx.get('http://localhost:8765/v1/health'),plain-text (safe),healthcheck,str,False,False,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,version,3.6,float-like,version,float,True,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.image,gitlab/gitlab-ee:latest,plain-text (safe),other/unclassified,str,False,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.hostname,gitlab.morozovme.com,plain-text (safe),other/unclassified,str,False,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.ports.[0],80:80,sexagesimal,ports element,str,False,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.ports.[1],443:443,plain-text (safe),ports element,str,False,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.ports.[2],8022:22,sexagesimal,ports element,int,True,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.volumes.[0],./config:/etc/gitlab,plain-text (safe),other/unclassified,str,False,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.volumes.[1],./logs:/var/log/gitlab,plain-text (safe),other/unclassified,str,False,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.volumes.[2],./data:/var/opt/gitlab,plain-text (safe),other/unclassified,str,False,True,str,False,False
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,services.web.shm_size,256m,plain-text (safe),other/unclassified,str,False,True,str,False,False
3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,version,2.1,float-like,version,float,True,True,str,False,False
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,version,3.8,float-like,version,float,True,True,str,False,False
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,services.postgres.ports.[0],5432:5432,plain-text (safe),ports element,str,False,True,str,False,False
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,services.postgres.healthcheck.test.[0],CMD-SHELL,plain-text (safe),healthcheck,str,False,True,str,False,False
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,services.postgres.healthcheck.test.[1],pg_isready -U transconnect,plain-text (safe),healthcheck,str,False,True,str,False,False
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,services.backend.ports.[0],5000:5000,plain-text (safe),ports element,str,False,True,str,False,False
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,services.backend.healthcheck.test.[0],CMD,plain-text (safe),healthcheck,str,False,True,str,False,False
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,services.backend.healthcheck.test.[1],curl,plain-text (safe),healthcheck,str,False,True,str,False,False
