file,size_bytes,elapsed_s,parse_success,save_success,reparse_success,total_lines,output_lines,byte_identical,changed_lines,changed_line_ratio,line_levenshtein,normalized_edit_distance,semantic_status,stderr
0kkun__tennis-track__.openapi_docker-compose.yml.yml,692,0.0037,True,True,True,32,29,False,3,0.09375,3,0.09375,not requested,
0xSh4dy__hackentine_archives__reversing_rev1_firstchallrevbasic_docker-compose.yml.yml,115,0.0031,True,True,True,7,7,False,1,0.142857,1,0.142857,not requested,
1235357__debate-engine__docker-compose.yml.yml,490,0.0033,True,True,True,17,17,False,0,0.0,0,0.0,not requested,
1qzxc__infra__shared-files_docker_gitlabci_docker-compose.yml.yml,495,0.0032,True,True,True,19,17,False,13,0.684211,13,0.684211,not requested,
3PillarGlobal__engineering-playbook__dockerized-automation_docker-compose.yml.yml,592,0.0034,True,True,True,31,25,False,8,0.258065,8,0.258065,not requested,
3bsolutionsltd__transconnect-app__docker-compose.yml.yml,2077,0.0047,True,True,True,81,71,False,12,0.148148,12,0.148148,not requested,
4linux__540__mentoria_compose_frontend2_docker-compose.yml.yml,717,0.0036,True,True,True,37,30,False,7,0.189189,7,0.189189,not requested,
97jsantos__atividade-pratica-modulo-14__docker-compose.yml.yml,1711,0.0044,True,True,True,61,56,False,24,0.393443,24,0.393443,not requested,
9Roflander__BigData-Labs-UNIME__Lab3_docker-compose.yml.yml,3936,0.005,True,True,True,115,70,False,47,0.408696,47,0.408696,not requested,
AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,2389,0.0033,True,True,True,45,15,False,30,0.666667,30,0.666667,not requested,
AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,380,0.0032,True,True,True,21,20,False,1,0.047619,1,0.047619,not requested,
ALipckin__task-flow-backend__auth_docker-compose.yml.yml,984,0.0037,True,True,True,45,42,False,8,0.177778,8,0.177778,not requested,
AP0827__Multi-Threaded-Web-Server__docker-compose.yml.yml,2405,0.0054,True,True,True,93,90,False,3,0.032258,3,0.032258,not requested,
AbdullahSholi__DOS_Project_Part1__docker-compose.yml.yml,1329,0.0041,True,True,True,64,59,False,7,0.109375,7,0.109375,not requested,
AdrienPoupa__docker-compose-nas__docker-compose.yml.yml,21586,0.0183,True,True,True,580,572,False,37,0.063793,37,0.063793,not requested,
AhmedIsmailKhalid__Iris-Classification-System-MLOps__deployment_docker-compose.yml.yml,914,0.0054,True,True,True,39,35,False,6,0.153846,6,0.153846,not requested,
Aish2140__movie-recommender-endee__docker-compose.yml.yml,764,0.0052,True,True,True,35,33,False,4,0.114286,4,0.114286,not requested,
Akash112004__ChaiGallery__docker-compose.yml.yml,310,0.0041,True,True,True,16,14,False,3,0.1875,3,0.1875,not requested,
Akin-ctrl__Stock_pipeline__docker-compose.yml.yml,9841,0.0143,True,True,True,360,337,False,49,0.136111,49,0.136111,not requested,
Alanaktion__artdeck__docker-compose.yml.yml,2043,0.005,True,True,True,72,71,False,69,0.958333,69,0.958333,not requested,
Alexandra2888__eShop__docker-compose.yml.yml,1057,0.004,True,True,True,48,44,False,6,0.125,6,0.125,not requested,
Alexestgrand__RoyalChess__docker-compose.yml.yml,943,0.0042,True,True,True,39,37,False,4,0.102564,4,0.102564,not requested,
Alijewa25__Eco-Audit-AI-ggc__docker-compose.yml.yml,1068,0.0056,True,True,True,59,54,False,10,0.169492,10,0.169492,not requested,
Amrue320__cicd-demo-app__docker-compose.yml.yml,2789,0.0053,True,True,True,78,66,False,16,0.205128,16,0.205128,not requested,
